State,PC No.,PC Name,PC Type,Winner Candidates,winner Party,Votesw,Runner-Up,Party,Votesr
Madhya Pradesh,11,Sidhi,GEN,Riti Pathak,BJP,475678,Indrajeet Kumar,INC,367632
Madhya Pradesh,6,Tikamgarh,(SC),Dr. Virendra Kumar,BJP,422979,Ahirwar Dr. Kamlesh Verma,INC,214248
Madhya Pradesh,22,Ujjain,(SC),Prof. Chintamani Malviya,BJP,641101,Premchand Guddu,INC,331438
Madhya Pradesh,18,Vidisha,GEN,Sushma Swaraj,BJP,714348,Lakshman Singh,INC,303650
Maharashtra,37,Ahmadnagar,GEN,Gandhi Dilipkumar Mansukhlal,BJP,605185,Rajeev Appasaheb Rajale,NCP,396063
Maharashtra,6,Akola,GEN,Dhotre Sanjay Shamrao,BJP,456472,Patel Hidayat Ulla Barkat Ulla,INC,253356
Maharashtra,7,Amravati,(SC),Adsul Anandrao Vithoba,SHS,467212,Navneet Ravi Rana,NCP,329280
Maharashtra,19,Aurangabad,GEN,Chandrakant Bhaurao Khaire,SHS,520902,Patil Nitin Suresh,INC,358902
Maharashtra,35,Baramati,GEN,Supriya Sule,NCP,521562,Mahadev Jagannath Jankar,RSP,451843
Maharashtra,39,Beed,GEN,Pritam Munde,BJP,922416,Ashokrao Shankarrao Patil,INC,226095
Maharashtra,11,Bhandara - Gondiya,GEN,Nanabhau Falgunrao Patole,BJP,606129,Patel Praful Manoharbhai,NCP,456875
Maharashtra,23,Biwandi,GEN,Kapil Moreshwar Patil,BJP,411070,Patil Vishwanath Ramchandra,INC,301620
Maharashtra,5,Buldana,GEN,Jadhav Prataprao Ganpatrao,SHS,509145,Ingle Krushanarao Ganpatrao,NCP,349566
Maharashtra,13,Chandrapur,GEN,Ahir Hansraj Gangaram,BJP,508049,Deotale Sanjay Wamanrao,INC,271780
Maharashtra,2,Dhule,GEN,Dr. Bhamre Subhash Ramrao,BJP,529450,Amrishbhai Rasiklal Patel,INC,398727
Maharashtra,20,Dindori,(ST),Chavan Harishchandra Deoram,BJP,542784,Dr. Bharati Pravin Pawar,NCP,295165
Maharashtra,12,Garhchiroli - Chimur,(ST),Ashok Mahadeorao Nete,BJP,535982,Dr. Namdeo Dalluji Usendi,INC,299112
Maharashtra,48,Hatkanangle,GEN,Raju Shetty,SWP,640428,Awade Kallappa Baburao,INC,462618
Maharashtra,15,Hingoli,GEN,Rajeev Shankarrao Satav,INC,467397,Wankhede Subhash Bapurao,SHS,465765
Maharashtra,3,Jalgaon,GEN,A.T. Nana Patil,BJP,647773,Annasaheb Dr.Satish Bhaskarrao Patil,NCP,264248
Maharashtra,18,Jalna,GEN,Danve Raosaheb Dadarao,BJP,591428,Autade Vilas Keshavrao,INC,384630
Maharashtra,24,Kalyan,GEN,Dr.Shrikant Eknath Shinde,SHS,440892,Anand Prakash Paranjpe,NCP,190143
Maharashtra,47,Kolhapur,GEN,Dhananjay Bhimrao Mahadik,NCP,607665,Sanjay Sadashiv Mandalik,SHS,574406
Maharashtra,41,Latur,(SC),Dr. Sunil Baliram Gaikwad,BJP,616509,Bansode Dattatray Gunderao,INC,363114
Maharashtra,43,Madha,GEN,Mohite Patil Vijaysinh Shankarrao,NCP,489989,Sadabhau Ramchandra Khot,SWP,464645
Maharashtra,33,Maval,GEN,Appa Alias Shrirang Chandu Barne,SHS,512226,Jagtap Laxmanbhau Pandurang,PWPI,354829
Maharashtra,26,Mumbai North,GEN,Gopal Chinayya Shetty,BJP,664004,Sanjay Brijkishorlal Nirupam,INC,217422
Maharashtra,29,Mumbai North-Central,GEN,Poonam Mahajan Alias Poonam Vajendla Rao,BJP,478535,Dutt Priya Sunil,INC,291764
Maharashtra,28,Mumbai North-East,GEN,Kirit Somaiya,BJP,525285,Sanjay Dina Patil,NCP,208163
Maharashtra,27,Mumbai North-West,GEN,Gajanan Chandrakant Kirtikar,SHS,464820,Kamat Gurudas Vasant,INC,281792
Maharashtra,31,Mumbai South,GEN,Arvind Sawant,SHS,374780,Deora Milind Murli,INC,246632
Maharashtra,30,Mumbai South-Central,GEN,Rahul Ramesh Shewale,SHS,381275,Eknath M. Gaikwad,INC,242933
Maharashtra,10,Nagpur,GEN,Gadkari Nitin Jairam,BJP,587767,Vilas Muttemwar,INC,302939
Maharashtra,16,Nanded,GEN,Ashok Shankarrao Chavan,INC,493075,D. B. Patil,BJP,411620
Maharashtra,1,Nandurbar,(ST),Dr.Gavit Heena Vaijaykumar,BJP,579486,Gavit Manikrao Hodlya,INC,472581
Maharashtra,21,Nashik,GEN,Godse Hemant Tukaram,SHS,494735,Chhagan Bhujbal,NCP,307399
Maharashtra,40,Osmanabad,GEN,Gaikwad Ravindra Vishwanath,SHS,607699,Patil Padmasinha Bajirao,NCP,373374
Maharashtra,22,Palghar,(ST),Adv. Chintaman Navasha Wanga,BJP,533201,Baliram Sukur Jadhav,BVA,293681
Maharashtra,17,Parbhani,GEN,Jadhav Sanjay (Bandu) Haribhau,SHS,578455,Bhambale Vijay Manikrao,NCP,451300
Maharashtra,34,Pune,GEN,Anil Shirole,BJP,569825,Dr.Vishwajeet Patangrao Kadam,INC,254056
Maharashtra,32,Raigad,GEN,Anant Geete,SHS,396178,Tatkare Sunil Dattatrey,NCP,394068
Maharashtra,9,Ramtek,(SC),Krupal Balaji Tumane,SHS,519892,Mukul Wasnik,INC,344101
Maharashtra,46,Ratnagiri - Sindhudurg,GEN,Vinayak Bhaurao Raut,SHS,493088,Nilesh Narayan Rane,INC,343037
Maharashtra,4,Raver,GEN,Khadase Raksha Nikhil,BJP,605452,Manishdada Jain,NCP,287384
Maharashtra,44,Sangli,GEN,Sanjaykaka Patil,BJP,611563,Patil Pratik Prakashbapu,INC,372271
Maharashtra,45,Satara,GEN,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,NCP,522531,Purushottam Jadhav,IND,155937
Maharashtra,38,Shirdi,(SC),Lokhande Sadashiv Kisan,SHS,532936,Bhausaheb Rajaram Wakchaure,INC,333014
Maharashtra,36,Shirur,GEN,Adhalrao Shivaji Dattatrey,SHS,643415,Nikam Devdatta Jaywant,NCP,341601
Maharashtra,42,Solapur,(SC),Sharad Bansode,BJP,517879,Shinde Sushilkumar Sambhajirao,INC,368205
Maharashtra,25,Thane,GEN,Vichare Rajan Baburao,SHS,595364,Sanjeev Ganesh Naik,NCP,314065
Maharashtra,8,Wardha,GEN,Ramdas Chandrabhanji Tadas,BJP,537518,Meghe Sagar Dattatraya,INC,321735
Maharashtra,14,Yavatmal - Washim,GEN,Gawali Bhavana Pundlikrao,SHS,477905,Adv.Shivajirao Shivaramji Moghe,INC,384089
Manipur,1,Inner Manipur,GEN,Dr. Thokchom Meinya,INC,292102,Moirangthem Nara,CPI,197428
Manipur,2,Outer Manipur,(ST),Thangso Baite,INC,296770,Soso Lorho,NPF,281133
Meghalaya,1,Shillong,(ST),Vincent H. Pala,INC,209340,Prechard B. M. Basaiawmoit,IND,168961
Meghalaya,2,Tura,(ST),Purno Agitok Sangma,NPP,239301,Daryl William Ch Momin,INC,199585
Mizoram,1,Mizoram,(ST),C. L. Ruala,INC,210485,Robert Romawia Royte,IND,204331
Nagaland,1,Nagaland,(ST),Neiphiu Rio,NPF,713372,K. V. Pusa,INC,313147
Odisha,19,Aska,GEN,Ladu Kishore Swain,BJD,541473,Srilokanath Ratha,INC,229476
Odisha,6,Baleshwar,GEN,Rabindra Kumar Jena,BJD,433768,Pratap Chandra Sarangi,BJP,291943
Odisha,1,Bargarh,GEN,Prabhas Kumar Singh,BJD,383230,Subash Chouhan,BJP,372052
Odisha,20,Berhampur.,GEN,Sidhant Mohapatra,BJD,398107,Chandra Sekhar Sahu,INC,270387
Odisha,7,Bhadrak,(SC),Arjun Charan Sethi,BJD,502338,Sangram Keshari Jena,INC,322979
Odisha,18,Bhubaneswar,GEN,Prasanna Kumar Patasani,BJD,439252,Prithiviraj Harichandan,BJP,249775
Odisha,10,Bolangir,GEN,Kalikesh Narayan Singh Deo,BJD,453519,Sangeeta Kumari Singh Deo,BJP,349220
Odisha,14,Cuttack,GEN,Bhartruhari Mahatab,BJD,526085,Aparajita Mohanty,INC,219323
Odisha,9,Dhenkanal,GEN,Tathagata Satpathy,BJD,453277,Rudra Narayan Pany,BJP,315937
Odisha,16,Jagatsinghpur,(SC),Kulamani Samal,BJD,624492,Bibhu Prasad Tarai,INC,348098
Odisha,8,Jajapur,(SC),Rita Tarai,BJD,541349,Asok Das,INC,221078
Odisha,11,Kalahandi,GEN,Arka Keshari Deo,BJD,370871,Pradipta Kumar Naik,BJP,314524
Odisha,13,Kandhamal,GEN,Pratyusha Rajeshwari Singh,BJD,477529,Rudra Madhab Ray,BJP,178661
Odisha,15,Kendrapara,GEN,Baijayant Panda,BJD,601574,Dharanidhar Nayak,INC,392466
Odisha,4,Kendujhar,(ST),Sakuntala Laguri,BJD,434471,Ananta Nayak,BJP,277154
Odisha,21,Koraput,(ST),Jhina Hikaka,BJD,395109,Giridhar Gamang,INC,375781
Odisha,5,Mayurbhanj,(ST),Rama Chandra Hansdah,BJD,393779,Nepole Raghu Murmu,BJP,270913
Odisha,12,Nabarangapur,(ST),Balabhadra Majhi,BJD,373887,Pradeep Kumar Majhi,INC,371845
Odisha,17,Puri,GEN,Pinaki Misra,BJD,523161,Sucharita Mohanty,INC,259800
Odisha,3,Sambalpur,GEN,Nagendra Kumar Pradhan,BJD,358618,Suresh Pujari,BJP,328042
Odisha,2,Sundargarh,(ST),Jual (Juel Oram),BJP,340508,Dilip Kumar Tirkey,BJD,321679
Puducherry,1,Puducherry,GEN,R. Radhakrishnan,AINRC,255826,V. Narayanasamy,INC,194972
Punjab,2,Amritsar,GEN,Captain Amarinder Singh,INC,482876,Arun Jaitley,BJP,380106
Punjab,6,Anandpur Sahib,GEN,Prem Singh Chandumajra,SAD,347394,Ambika Soni,INC,323697
Punjab,11,Bathinda,GEN,Harsimrat Kaur Badal,SAD,514727,Manpreet Singh Badal S/O Gurdas Singh,INC,495332
Punjab,9,Faridkot,(SC),Prof. Sadhu Singh,AAP,450751,Paramjit Kaur Gulshan,SAD,278235
Punjab,8,Fatehgarh Sahib,(SC),Harinder Singh Khalsa,AAP,367293,Sadhu Singh,INC,313149
Punjab,10,Firozpur,GEN,Sher Singh Ghubaya,SAD,487932,Sunil Jakhar,INC,456512
Punjab,1,Gurdaspur,GEN,Vinod Khanna,BJP,482255,Partap Singh Bajwa,INC,346190
Punjab,5,Hoshiarpur,(SC),Vijay Sampla,BJP,346643,Mohinder Singh Kaypee,INC,333061
Punjab,4,Jalandhar,(SC),Santokh Singh Chaudhary,INC,380479,Pawan Kumar Tinu,SAD,309498
Punjab,3,Khadoor Sahib,GEN,Ranjit Singh Brahmpura,SAD,467332,Harminder Singh Gill,INC,366763
Punjab,7,Ludhiana,GEN,Ravneet Singh Bittu,INC,300459,Harvinder Singh Phoolka,AAP,280750
Punjab,13,Patiala,GEN,Dr. Dharam Vira Gandhi,AAP,365671,Preneet Kaur,INC,344729
Punjab,12,Sangrur,GEN,Bhagwant Mann,AAP,533237,Sukhdev Singh Dhindsa,SAD,321516
Rajasthan,13,Ajmer,GEN,Sanwar Lal Jat,BJP,637874,Sachin Pilot,INC,465891
Rajasthan,8,Alwar,GEN,Chand Nath,BJP,642278,Bhanwar Jitendra Singh,INC,358383
Rajasthan,20,Banswara,(ST),Manshankar Ninama,BJP,577433,Resham Malviya,INC,485517
Rajasthan,17,Barmer,GEN,Col. Sona Ram,BJP,488747,Jaswant Singh,IND,401286
Rajasthan,9,Bharatpur,(SC),Bahadur Singh,BJP,579825,Dr.Suresh Jatav,INC,334357
Rajasthan,23,Bhilwara,GEN,Subhash Baheria,BJP,630317,Ashok Chandna,INC,384053
Rajasthan,2,Bikaner,(SC),Arjun Ram Meghwal,BJP,584932,Er. Shankar Pannu,INC,276853
Rajasthan,21,Chittaurgarh,GEN,Chandra Prakash Joshi,BJP,703236,Girija Vyas,INC,386379
Rajasthan,3,Churu,GEN,Rahul Kaswan,BJP,595756,Abhinesh Maharshi,BSP,301017
Rajasthan,11,Dausa,(ST),Harish Chandra Meena,BJP,315059,Dr. Kirodi Lal,NPP,269655
Rajasthan,1,Ganganagar,(SC),Nihalchand,BJP,658130,Master Bhanwarlal Meghwal,INC,366389
Rajasthan,7,Jaipur,GEN,Ramcharan Bohara,BJP,863358,Dr. Mahesh Joshi,INC,324013
Rajasthan,6,Jaipur Rural,GEN,Rajyavardhan Singh Rathore,BJP,632930,Dr. C.P. Joshi,INC,300034
Rajasthan,18,Jalore,(SC),Devji Patel,BJP,580508,Anjana Udai Lal,INC,199363
Rajasthan,25,Jhalawar - Baran,GEN,Dushyant Singh,BJP,676102,Pramod Bhaya,INC,394556
Rajasthan,4,Jhunjhunun,GEN,Santosh Ahlawat,BJP,488182,Raj Bala Ola,INC,254347
Rajasthan,16,Jodhpur,GEN,Gajendrasingh Shekhawat,BJP,713515,Chandresh Kumari,INC,303464
Rajasthan,10,Karauli - Dhaulpur,(SC),Manoj Rajoria,BJP,402407,Lakkhiram,INC,375191
Rajasthan,24,Kota,GEN,Om Birla,BJP,644822,Ijyaraj Singh,INC,444040
Rajasthan,14,Nagaur,GEN,C R Choudhary,BJP,414791,Dr Jyoti Mirdha,INC,339573
Rajasthan,15,Pali,GEN,P P Choudhary,BJP,711772,Munni Devi Godara,INC,312733
Rajasthan,22,Rajsamand,GEN,Hariom Singh Rathore,BJP,644794,Gopal Singh Shekhawat,INC,249089
Rajasthan,5,Sikar,GEN,Sumedhanand Saraswati,BJP,499428,Pratap Singh Jat,INC,260232
Rajasthan,12,Tonk - Sawai Madhopur,GEN,Sukhbir Singh Jaunapuria,BJP,548179,Mohammed Azharuddin,INC,412868
Rajasthan,19,Udaipur,(ST),Arjunlal Meena,BJP,660373,Raghuvir Singh,INC,423611
Sikkim,1,Sikkim,GEN,Prem Das Rai,SDF,163698,Tek Nath Dhakal,SKM,121956
Tamil Nadu,7,Arakkonam,GEN,"Hari, G.",AIADMK,493534,N.R Elango,DMK,252768
Tamil Nadu,12,Arani,GEN,V.Elumalai,AIADMK,502721,R.Sivanandam,DMK,258877
Tamil Nadu,4,Chennai Central,GEN,S.R. Vijayakumar,AIADMK,333296,Dayanidhi Maran,DMK,287455
Tamil Nadu,2,Chennai North,GEN,Venkatesh Babu .T.G,AIADMK,406704,Girirajan .R,DMK,307000
Tamil Nadu,3,Chennai South,GEN,Dr. J. Jayavardhan,AIADMK,438404,T.K.S.Elangovan,DMK,301779
Tamil Nadu,27,Chidambaram,(SC),"Chandrakasi, M",AIADMK,429536,"Thirumaavalavan, Thol",VCK,301041
Tamil Nadu,20,Coimbatore,GEN,"Nagarajan, P.",AIADMK,431717,"Radhakrishnan, C.P.",BJP,389701
Tamil Nadu,26,Cuddalore,GEN,Arunmozhithevan.A,AIADMK,481429,Nandagopalakrishnan.K.,DMK,278304
Tamil Nadu,10,Dharmapuri,GEN,Anbumani Ramadoss,PMK,468194,Mohan.P.S,AIADMK,391048
Tamil Nadu,22,Dindigul,GEN,Udhaya Kumar .M,AIADMK,510462,Gandhirajan S,DMK,382617
Tamil Nadu,17,Erode,GEN,Selvakumara Chinnayan S,AIADMK,466995,Ganeshamurthi.A,MDMK,255432
Tamil Nadu,14,Kallakurichi,GEN,Kamaraj. K,AIADMK,533383,Manimaran. R,DMK,309876
Tamil Nadu,6,Kancheepuram,(SC),Maragatham K,AIADMK,499395,Selvam G,DMK,352529
Tamil Nadu,39,Kanniyakumari,GEN,Radhakrishnan P.,BJP,372906,Vasantha Kumar H.,INC,244244
Tamil Nadu,23,Karur,GEN,"Thambidurai,M.",AIADMK,540722,"Chinnasamy, M.",DMK,345475
Tamil Nadu,9,Krishnagiri,GEN,Ashok Kumar.K,AIADMK,480491,Chinna Pillappa.P,DMK,273900
Tamil Nadu,32,Madurai,GEN,R.Gopalakrishnan,AIADMK,454167,V Velusamy,DMK,256731
Tamil Nadu,28,Mayiladuthurai,GEN,Bharathi Mohan R.K,AIADMK,513729,Hyder Ali.S,MAMAK,236679
Tamil Nadu,29,Nagappattinam,(SC),Gopal. Dr. K,AIADMK,434174,Vijayan. A.K.S,DMK,328095
Tamil Nadu,16,Namakkal,GEN,Sundaram P.R,AIADMK,563272,Gandhiselvan.S,DMK,268898
Tamil Nadu,19,Nilgiris,(SC),"Gopalakrishnan, C.",AIADMK,463700,"Raja, A.",DMK,358760
Tamil Nadu,25,Perambalur,GEN,"Marutharajaa, R.P.",AIADMK,462693,"Seemanur Prabu, S.",DMK,249645
Tamil Nadu,21,Pollachi,GEN,Mahendran.C,AIADMK,417092,Eswaran.E.R.,BJP,276118
Tamil Nadu,35,Ramanathapuram,GEN,Anwhar Raajhaa.A,AIADMK,405945,Mohamed Jaleel .S,DMK,286621
Tamil Nadu,15,Salem,GEN,Pannerselvam.V,AIADMK,556546,Umarani. S,DMK,288936
Tamil Nadu,31,Shivaganga,GEN,Senthilnathan Pr,AIADMK,475993,Dhurai Raaj Subha,DMK,246608
Tamil Nadu,5,Sriperumbudur,GEN,"Ramachandran, K.N. Thiru",AIADMK,545820,"Jagathrakshakan, S. Thiru",DMK,443174
Tamil Nadu,37,Tenkasi,(SC),Vasanthi.M,AIADMK,424586,Dr.Krishnasamy.K.,PT,262812
Tamil Nadu,30,Thanjavur,GEN,Parasuraman.K,AIADMK,510307,Baalu.T.R,DMK,366188
Tamil Nadu,33,Theni,GEN,"Parthipan, R.",AIADMK,571254,Pon. Muthuramalingam,DMK,256722
Tamil Nadu,36,Thoothukkudi,GEN,Jeyasingh Thiyagaraj Natterjee.J,AIADMK,366052,Jegan. P,DMK,242050
Tamil Nadu,24,Tiruchirappalli,GEN,Kumar.P,AIADMK,458478,Anbhalagan.Mu,DMK,308002
Tamil Nadu,38,Tirunelveli,GEN,Prabakaran.K.R.P,AIADMK,398139,Devadasa Sundaram,DMK,272040
Tamil Nadu,18,Tiruppur,GEN,V.Sathyabama,AIADMK,442778,N.Dineshkumar,DMDK,263463
Tamil Nadu,1,Tiruvallur,(SC),Venugopal.P.(Dr),AIADMK,628499,Ravikumar.D,VCK,305069
Tamil Nadu,11,Tiruvannamalai,GEN,Vanaroja R,AIADMK,500751,Annadurai C N,DMK,332145
Tamil Nadu,8,Vellore,GEN,"Senguttuvan, B.",AIADMK,383719,"Shanmugam, A.C.",BJP,324326
Tamil Nadu,13,Viluppuram,(SC),Rajendran S,AIADMK,482704,Muthaiyan K Dr,DMK,289337
Tamil Nadu,34,Virudunagar,GEN,Radhakrishnan T,AIADMK,406694,Vaiko,MDMK,261143
Telangana,1,Adilabad,(ST),Godam Nagesh,TRS,430847,Naresh,INC,259557
Telangana,14,Bhongir,GEN,Dr. Boora Narsaiah Goud,TRS,448245,Komatireddy Rajgopal Reddy,INC,417751
Telangana,10,Chevella,GEN,Konda Vishweshwar Reddy,TRS,435077,Patlolla Kartik Reddy,INC,362054
Telangana,9,Hyderabad,GEN,Asaduddin Owaisi,AIMIM,513868,Dr.Bhagavanth Rao,BJP,311414
Telangana,3,Karimnagar,GEN,Vinod Kumar Boinapally,TRS,505783,Ponnam Prabhakar,INC,300706
Telangana,17,Khammam,GEN,Ponguleti Srinivasa Reddy,YSRC,421957,Nama Nageswara Rao,TDP,409983
Telangana,16,Mahabubabad,(ST),Prof. Azmeera Seetaram Naik,TRS,320569,P. Balram,INC,285577
Telangana,11,Mahbubnagar,GEN,Ap Jithender Reddy,TRS,334228,Jaipal Reddy Sudini,INC,331638
Telangana,7,Malkajgiri,GEN,Ch.Malla Reddy,TDP,523336,Hanumanth Rao Mynampally,TRS,494965
Telangana,6,Medak,GEN,Kotha Prabhakar Reddy,TRS,571800,V Sunita Laxma Reddy,INC,210523
Telangana,12,Nagarkurnool,(SC),Yellaiah Nandi,INC,420075,Dr. Manda Jagannath,TRS,403399
Telangana,13,Nalgonda,GEN,Gutha Sukhender Reddy,INC,472093,Tera Chinnapa Reddy,TDP,278937
Telangana,4,Nizamabad,GEN,Kalvakuntla Kavitha,TRS,439307,Madhu Yaskhi Goud,INC,272123
Telangana,2,Peddapalle,(SC),Balka Suman,TRS,565496,G. Vivekanand,INC,274338
Telangana,8,Secunderabad,GEN,Bandaru Dattatreya,BJP,438271,M.Anjan Kumar Yadav,INC,183536
Telangana,15,Warangal,(SC),Kadiyam Srihari,TRS,661639,Rajaiah Siricilla,INC,269065
Telangana,5,Zahirabad,GEN,B.B. Patil,TRS,508661,Suresh Kumar Shetkar,INC,364030
Tripura,2,Tripura East,(ST),Jitendera Choudhury,CPM,623771,Sachitra Debbarma,INC,139413
Tripura,1,Tripura West,GEN,Sankar Prasad Datta,CPM,671665,Arunoday Saha,INC,168179
Uttar Pradesh,18,Agra,(SC),Dr. Ram Shankar Katheria,BJP,583716,Narayan Singh Suman,BSP,283453
Uttar Pradesh,44,Akbarpur,GEN,Devendra Singh (Bhole Singh),BJP,481584,Anil Shukla Warsi,BSP,202587
Uttar Pradesh,15,Aligarh,GEN,Satish Kumar,BJP,514622,Dr. Arvind Kumar Singh,BSP,227886
Uttar Pradesh,52,Allahabad,GEN,Shyama Charan Gupta,BJP,313772,Kunwar Rewati Raman Singh Alias Mani,SP,251763
Uttar Pradesh,55,Ambedkar Nagar,GEN,Hari Om Pandey,BJP,432104,Rakesh Pandey,BSP,292675
Uttar Pradesh,37,Amethi,GEN,Rahul Gandhi,INC,408651,Smriti Zubin Irani,BJP,300748
Uttar Pradesh,9,Amroha,GEN,Kanwar Singh Tanwar,BJP,528880,Humera Akhtar,SP,370666
Uttar Pradesh,24,Aonla,GEN,Dharmendra Kumar,BJP,409907,Kunwar Sarvraj Singh,SP,271478
Uttar Pradesh,69,Azamgarh,GEN,Mulayam Singh Yadav,SP,340306,Ramakant Yadav,BJP,277102
Uttar Pradesh,11,Baghpat,GEN,Dr. Satya Pal Singh,BJP,423475,Ghulam Mohammed,SP,213609
Uttar Pradesh,56,Bahraich,(SC),Sadhvi Savitri Bai Foole,BJP,432392,Shabbir Ahmad,SP,336747
Uttar Pradesh,72,Ballia,GEN,Bharat Singh,BJP,359758,Neeraj Shekhar,SP,220324
Uttar Pradesh,48,Banda,GEN,Bhairon Prasad Mishra,BJP,342066,R. K. Singh Patel,BSP,226278
Uttar Pradesh,67,Bansgaon,(SC),Kamlesh Paswan,BJP,417959,Sadal Prasad,BSP,228443
Uttar Pradesh,53,Barabanki,(SC),Priyanka Singh Rawat,BJP,454214,P. L. Punia,INC,242336
Uttar Pradesh,25,Bareilly,GEN,Santosh Kumar Gangwar,BJP,518258,Ayesha Islam,SP,277573
Uttar Pradesh,61,Basti,GEN,Harish Chandra Alias Harish Dwivedi,BJP,357680,Brij Kishor Singh (Dimpal),SP,324118
Uttar Pradesh,4,Bijnor,GEN,Kunwar Bhartendra,BJP,486913,Shahnawaz Rana,SP,281139
Uttar Pradesh,23,Budaun,GEN,Dharmendra Yadav,SP,498378,Vagish Pathak,BJP,332031
Uttar Pradesh,14,Bulandshahr,(SC),Bhola Singh,BJP,604449,Pradeep Kumar Jatav,BSP,182476
Uttar Pradesh,76,Chandauli,GEN,Dr Mahendra Nath Pandey,BJP,414135,Anil Kumar Maurya,BSP,257379
Uttar Pradesh,66,Deoria,GEN,Kalraj Mishra,BJP,496500,Niyaj Ahmad,BSP,231114
Uttar Pradesh,29,Dhaurahra,GEN,Rekha,BJP,360357,Daud Ahmad,BSP,234682
Uttar Pradesh,60,Domriaganj,GEN,Jagdambika Pal,BJP,298845,Muhammad Muqeem,BSP,195257
Uttar Pradesh,22,Etah,GEN,Rajveer Singh (Raju Bhaiya),BJP,474978,Ku. Devendra Singh Yadav,SP,273977
Uttar Pradesh,41,Etawah,(SC),Ashok Kumar Doharey,BJP,439646,Premdas Kateriya,SP,266700
Uttar Pradesh,54,Faizabad,GEN,Lallu Singh,BJP,491761,Mitrasen Yadav,SP,208986
Uttar Pradesh,40,Farrukhabad,GEN,Mukesh Rajput,BJP,406195,Rameshwar Singh Yadav,SP,255693
Uttar Pradesh,49,Fatehpur,GEN,Sadhavi Niranjan Jyoti,BJP,485994,Afzal Siddiqui,BSP,298788
Uttar Pradesh,19,Fatehpur Sikri,GEN,Babulal,BJP,426589,Seema Upadhyay,BSP,253483
Uttar Pradesh,20,Firozabad,GEN,Akshay Yadav,SP,534583,Prof. S.P. Singh Baghel,BJP,420524
Uttar Pradesh,13,Gautam Buddha Nagar,GEN,Dr.Mahesh Sharma,BJP,599702,Narendra Bhati,SP,319490
Uttar Pradesh,12,Ghaziabad,GEN,Vijay Kumar Singh,BJP,758482,Raj Babbar,INC,191222
Uttar Pradesh,75,Ghazipur,GEN,Manoj Sinha,BJP,306929,Smt Shivkanya Kushwaha,SP,274477
Uttar Pradesh,70,Ghosi,GEN,Harinarayan Rajbhar,BJP,379797,Dara Singh Chauhan,BSP,233782
Uttar Pradesh,59,Gonda,GEN,Kirti Vardhan Singh,BJP,359643,Nandita Shukla,SP,199227
Uttar Pradesh,64,Gorakhpur,GEN,Adityanath,BJP,539127,Rajmati Nishad,SP,226344
Uttar Pradesh,47,Hamirpur,GEN,Kunwar Pushpendra Singh Chandel,BJP,453884,Bishambhar Prasad Nishad,SP,187096
Uttar Pradesh,31,Hardoi,(SC),Anshul Verma,BJP,360501,Shive Prasad Verma,BSP,279158
Uttar Pradesh,16,Hathras,(SC),Rajesh Kumar Diwaker,BJP,544277,Manoj Kumar Soni,BSP,217891
Uttar Pradesh,45,Jalaun,(SC),Bhanu Pratap Singh Verma,BJP,548631,Brijlal Khabri,BSP,261429
Uttar Pradesh,73,Jaunpur,GEN,Krishna Pratap (K.P.),BJP,367149,Subhash Pandey,BSP,220839
Uttar Pradesh,46,Jhansi,GEN,Uma Bharti,BJP,575889,Dr. Chandrapal Singh Yadav,SP,385422
Uttar Pradesh,2,Kairana,GEN,Hukum Singh,BJP,565909,Nahid Hasan,SP,329081
Uttar Pradesh,57,Kaisarganj,GEN,Brij Bhusan Sharan Singh,BJP,381500,Vinod Kumar Alias Pandit Singh,SP,303282
Uttar Pradesh,42,Kannauj,GEN,Dimple Yadav,SP,489164,Subrat Pathak,BJP,469257
Uttar Pradesh,43,Kanpur,GEN,Dr.Murli Manohar Joshi,BJP,474712,Sriprakash Jaiswal,INC,251766
Uttar Pradesh,50,Kaushambi,(SC),Vinod Kumar Sonkar,BJP,331593,Shailendra Kumar,SP,288746
Uttar Pradesh,28,Kheri,GEN,Ajay Kumar,BJP,398578,Arvind Giri,BSP,288304
Uttar Pradesh,65,Kushi Nagar,GEN,Rajesh Pandey Urf Guddu,BJP,370051,Kunwar Ratanjit Pratap Narain Singh,INC,284511
Uttar Pradesh,68,Lalganj,(SC),Neelam Sonkar,BJP,324016,Bechai Saroj,SP,260930
Uttar Pradesh,35,Lucknow,GEN,Raj Nath Singh,BJP,561106,Prof. Rita Bahuguna Joshi,INC,288357
Uttar Pradesh,74,Machhlishahr,(SC),Ram Charitra Nishad,BJP,438210,Bholanath Alias B.P. Saroj,BSP,266055
Uttar Pradesh,63,Maharajganj,GEN,Pankaj,BJP,471542,Kashi Nath Shukla,BSP,231084
Uttar Pradesh,21,Mainpuri,GEN,Tej Pratap Singh Yadav,SP,653686,Prem Singh Shakya,BJP,332537
Uttar Pradesh,17,Mathura,GEN,Hema Malini Dharmendra,BJP,574633,Jayant Chaudhary,RLD,243890
Uttar Pradesh,10,Meerut,GEN,Rajendra Agarwal,BJP,532981,Mohd.Shahid Akhlak,BSP,300655
Uttar Pradesh,79,Mirzapur,GEN,Anupriya Singh Patel,AD,436536,Samudra Bind,BSP,217457
Uttar Pradesh,32,Misrikh,(SC),Anju Bala,BJP,412575,Ashok Kumar Rawat,BSP,325212
